Description,Value,Timing,Start,End,RL_PVR,LL_PVR,RA_DET1,RA_BLD1,RA_OCS1,LA_DET1,LA_BLD1,LA_OCS1,RL_DET1,RL_BLD1,RL_OCS1,RL_DET2,RL_BLD2,RL_OCS2,LL_DET1,LL_BLD1,LL_OCS1,LL_DET2,LL_BLD2,LL_OCS2,TRADET,TRAOCC,TLADET,TLAOCC,TRLDET,TRLOCC,TLLDET,TLLOCC,
,,STDL_P2_Deflate,19240,21816,70.32522,56.67098,55.28986,0,192.9333,52.46204,58.63631,192.9333,42.29646,57.20866,179.4925,,,,42.66593,58.60431,179.2661,43.14409,56.98813,228.8376,0,0,0,0,0,0.9521941,0,0,
,,STDL_P2_OccVent,21828,22195,69.57602,56.05308,55.28019,0,192.9235,52.45064,57.98125,192.9235,42.30019,56.63366,179.4835,,,,42.67634,58.26301,179.2563,43.15524,56.34234,228.8277,0,0,0,0,0,0.9365905,0,0,
,,STDL_P2_Process,22398,22399,68.68996,54.87646,55.27349,0,192.9138,52.43887,57.54031,192.9138,42.28473,56.05462,179.4745,,,,42.65719,57.58313,179.2462,43.14409,55.66235,228.8178,0,0,0,0,0,0.9453211,0,0,
,,STDL_AnkEmergOccVent,0,0,68.49695,54.09039,55.26921,0,192.9039,52.4357,56.95263,192.9039,42.28473,55.31231,179.4655,,,,42.68619,57.05015,179.2364,43.11304,55.23094,228.8078,0,0,0,0,0,0.9445781,0,0,
,,STDL_AnkEmergDetVent,0,0,69.82488,53.93608,55.2707,0,192.8937,52.46633,56.6114,192.8937,42.30186,54.9002,179.4568,,,,42.66518,56.5321,179.2267,43.14186,54.64521,228.7979,0,0,0,0,0,0.9529371,0,0,
,,STDL_Abort,0,0,70.99166,54.11961,55.27294,0,192.8835,52.45587,55.93478,192.8835,42.30223,54.54237,179.4481,,,,42.66147,55.95513,179.2167,43.13312,54.0795,228.7884,0,0,0,0,0,0.9544232,0,0,
,,STDL_Complete,22399,22400,71.45994,54.18401,55.25954,0,192.8734,52.45083,55.6196,192.8734,42.31826,54.25829,179.4394,,,,42.67783,55.41246,179.2071,43.12866,53.33188,228.7791,0,0,0,0,0,0.9447638,0,0,
,,STDL_CalibrateAtmos,0,0,71.81149,54.86771,55.27721,0,192.8627,52.45681,55.17526,192.8627,42.2987,53.90696,179.431,,,,42.67337,54.86656,179.1978,43.12196,52.91887,228.77,0,0,0,0,0,0.9278598,0,0,
,,STDL_CalibrateHold,0,0,72.85417,55.89656,55.24894,0,192.8516,52.44933,54.69654,192.8516,42.30987,53.57587,179.4225,,,,42.66463,54.53138,179.1888,43.13832,52.34341,228.7609,0,0,0,0,0,0.9403057,0,0,
,,STDL_CalibrateMax,0,0,73.16341,56.01419,55.24894,0,192.8398,52.45214,54.0638,192.8398,42.29274,53.03371,179.4137,,,,42.66444,54.2768,179.1807,43.13014,51.76472,228.752,0,0,0,0,0,0.943835,0,0,
,,STDL_ADCTest,0,0,73.1608,55.34832,55.25582,0,192.8279,52.45288,53.3252,192.8279,42.30261,52.40551,179.4051,,,,42.66165,53.89825,179.1732,43.13963,51.24233,228.743,0,0,0,0,0,0.9291602,0,0,
,,STDL_AutoZero,1,257,74.15723,53.77449,55.2601,0,192.8158,52.46035,52.92852,192.8158,42.30186,51.68503,179.3964,,,,42.67578,53.57548,179.1668,43.1294,50.68349,228.7344,0,0,0,0,0,0.9371477,0,0,
,,STDL_AutoZeroComplete,0,0,74.28777,52.13443,55.2655,0,192.8037,52.47025,52.33917,192.8037,42.29572,51.05475,179.3877,,,,42.68173,53.25684,179.1618,43.14241,50.35018,228.7253,0,0,0,0,0,0.947736,0,0,
,,STDL_FT_DivertTest,0,0,74.51253,50.86192,55.26159,0,192.7918,52.46633,51.7643,192.7918,42.29795,50.3951,179.3794,,,,42.67653,52.91686,179.1581,43.13665,49.65867,228.7164,0,0,0,0,0,0.9180147,0,0,
,,STDL_FT_DivertSettle,0,0,73.9246,49.79771,55.27573,0,192.7802,52.44859,51.02399,192.7802,42.28771,49.94496,179.3708,,,,42.67485,52.58973,179.1548,43.11806,49.35078,228.7076,0,0,0,0,0,0.9289744,0,0,
,,STDL_FT_AutoZeroWait,0,0,72.04929,49.47925,55.29526,0,192.7689,52.44635,50.38916,192.7689,42.30186,49.36494,179.3622,,,,42.67058,52.26114,179.1526,43.13014,48.90654,228.6985,0,0,0,0,0,0.9386338,0,0,
